5666,BLOOR ST W AT DUFFERIN ST (PX 325),25,43.659883,-79.43536499
3970,HIGHWAY 27 AT REXDALE BLVD (PX 1161),24,43.717268,-79.595622
3995,ST CLAIR AVE AT WARDEN AVE (PX 473),24,43.712045,-79.281003
4024,JANE ST AT WILSON AVE (PX 532),24,43.720915,-79.50863399
4029,FINCH AVE AT JANE ST (PX 534),24,43.757234,-79.517731
4042,EGLINTON AVE E AT KENNEDY RD,24,43.73220155,-79.26793172
4077,FINCH AVE AT KEELE ST (PX 601),24,43.763502,-79.491053
4110,LAWRENCE AVE E AT MCCOWAN RD,24,43.75554853,-79.24542278
4122,SHEPPARD AVE AT W R ALLEN RD (PX 1407),24,43.750251,-79.46339
4139,BATHURST ST AT KING ST W,24,43.64392631,-79.40270553
4147,BATHURST ST AT LAWRENCE AVE (PX 423),24,43.719258,-79.429816
4154,MARKHAM RD AT PROGRESS AVE & PROGRESS CRT (PX 878),24,43.781746,-79.23389
4158,MARKHAM RD AT STEELES AVE E,24,43.83661391,-79.25119191
4179,QUEEN ST W AT SPADINA AVE,24,43.64876552,-79.39638162
4230,SHEPPARD AVE AT YONGE ST (PX 125),24,43.761508,-79.410937
4344,DON MILLS RD AT SHEPPARD AVE E,24,43.77510715,-79.34704097
4563,EGLINTON AVE E AT MCCOWAN RD,24,43.73885308,-79.23836164
4575,EGLINTON AVE E AT MIDLAND AVE,24,43.73453069,-79.25810431
4722,BIRCHMOUNT RD AT SHEPPARD AVE E (PX751),24,43.781054,-79.298106
5046,ADELAIDE ST E AT JARVIS ST,24,43.65152762,-79.37236536
5516,DON MILLS RD AT GATEWAY BLVD S & OVERLEA BLVD,24,43.70999646,-79.33439498
5601,DANFORTH RD AT EGLINTON AVE E,24,43.73709729,-79.24616407
5958,BROADVIEW AVE AT QUEEN ST E,24,43.65887834,-79.34985223
3940,BLACK CREEK DR AT LAWRENCE AVE W (PX 1348),23,43.70495,-79.494096
4113,MCCOWAN RD AT SHEPPARD AVE E,23,43.78962016,-79.25883875
4150,BATHURST ST AT FINCH AVE W (PX 675),23,43.773859,-79.443008
4151,EGLINTON AVE E AT MARKHAM RD (PX 463),23,43.743182,-79.218913
4155,MARKHAM RD AT SHEPPARD AVE E,23,43.79386982,-79.23875298
4343,DON MILLS RD AT YORK MILLS RD,23,43.75581176,-79.34704521
4350,ALBION RD AT ISLINGTON AVE (PX 717),23,43.737236,-79.56530499
4376,KINGSTON RD AT PORT UNION RD & SHEPPARD AVE E,23,43.79892473,-79.14622342
4525,KEELE ST AT STEELES AVE W,23,43.78154193,-79.49449885
4784,COXWELL AVE AT COXWELL BLVD & OCONNOR DR (PX 445),23,43.697767,-79.329489
